level,buy_price,sell_price,volume,status,buy_filled,sell_filled,buy_order_id,sell_order_id
1,1424.0,1426.0,4.213483146067416,bought,True,False,buy-1-1747320161,
2,1422.0,1424.0,4.219409282700422,bought,True,False,buy-2-1747320161,
3,1420.0,1422.0,4.225352112676056,bought,True,False,buy-3-1747320161,
4,1418.0,1420.0,4.231311706629055,bought,True,False,buy-4-1747339196,
5,1416.0,1418.0,4.237288135593221,bought,True,False,buy-5-1747339196,
6,1414.0,1416.0,4.243281471004243,waiting,False,False,,
7,1412.0,1414.0,4.2492917847025495,waiting,False,False,,
8,1410.0,1412.0,4.25531914893617,waiting,False,False,,
9,1408.0,1410.0,4.261363636363637,waiting,False,False,,
10,1406.0,1408.0,4.267425320056899,waiting,False,False,,
