type,grid_level,price,amount,volume,fee,timestamp,order_id
buy,1,1424.0,6000,4.211376404494382,3.0,2025-05-15 23:42:41,buy-1-1747320161
buy,2,1422.0,6000,4.217299578059072,3.0,2025-05-15 23:42:41,buy-2-1747320161
buy,3,1420.0,6000,4.223239436619719,3.0,2025-05-15 23:42:41,buy-3-1747320161
buy,4,1418.0,6000,4.22919605077574,3.0,2025-05-16 04:59:56,buy-4-1747339196
buy,5,1416.0,6000,4.235169491525424,3.0,2025-05-16 04:59:56,buy-5-1747339196
buy,6,1414.0,6000,4.241159830268741,3.0,2025-05-16 05:00:06,buy-6-1747339206
sell,6,1416.0,6002.479578500707,4.241159830268741,3.002741159830269,2025-05-16 05:00:56,sell-6-1747339256
buy,6,1414.0,6000,4.241159830268741,3.0,2025-05-16 05:01:36,buy-6-1747339296
sell,6,1416.0,6002.479578500707,4.241159830268741,3.002741159830269,2025-05-16 05:02:06,sell-6-1747339326
buy,6,1414.0,6000,4.241159830268741,3.0,2025-05-16 05:02:47,buy-6-1747339367
sell,6,1416.0,6002.479578500707,4.241159830268741,3.002741159830269,2025-05-16 05:05:47,sell-6-1747339547
