level,buy_price,sell_price,volume,status,buy_filled,sell_filled,buy_order_id,sell_order_id
1,100.0,100.1,60.0,bought,True,False,buy-1-1747296530,
2,99.9,100.0,60.06006006006006,bought,True,False,buy-2-1747296530,
3,99.8,99.89999999999999,60.120240480961925,bought,True,False,buy-3-1747296530,
4,99.7,99.8,60.18054162487462,bought,True,False,buy-4-1747296530,
5,99.6,99.69999999999999,60.24096385542169,bought,True,False,buy-5-1747296530,
6,99.5,99.6,60.301507537688444,bought,True,False,buy-6-1747296530,
7,99.4,99.5,60.36217303822937,bought,True,False,buy-7-1747296530,
8,99.3,99.39999999999999,60.422960725075534,bought,True,False,buy-8-1747296530,
9,99.2,99.3,60.483870967741936,bought,True,False,buy-9-1747296530,
10,99.1,99.19999999999999,60.54490413723512,bought,True,False,buy-10-1747296530,
11,99.0,99.1,60.60606060606061,bought,True,False,buy-11-1747296530,
12,98.9,99.0,60.66734074823053,bought,True,False,buy-12-1747296530,
13,98.8,98.89999999999999,60.72874493927126,bought,True,False,buy-13-1747296530,
14,98.7,98.8,60.790273556231,bought,True,False,buy-14-1747296530,
15,98.6,98.69999999999999,60.85192697768763,bought,True,False,buy-15-1747296530,
16,98.5,98.6,60.91370558375635,bought,True,False,buy-16-1747296530,
17,98.4,98.5,60.975609756097555,bought,True,False,buy-17-1747296530,
18,98.3,98.39999999999999,61.037639877924725,bought,True,False,buy-18-1747296530,
19,98.2,98.3,61.09979633401222,waiting,False,False,,
20,98.1,98.19999999999999,61.162079510703364,waiting,False,False,,
