type,grid_level,price,amount,volume,fee,timestamp,order_id
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:30:22,buy-1-1747427412
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:30:22,buy-2-1747427412
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:30:32,sell-2-1747427422
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:30:32,sell-1-1747427422
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:30:42,buy-1-1747427432
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:30:42,buy-2-1747427432
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:30:52,sell-2-1747427442
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:30:52,sell-1-1747427442
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:31:02,buy-1-1747427452
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:31:02,buy-2-1747427452
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:31:12,sell-2-1747427462
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:31:12,sell-1-1747427462
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:31:22,buy-1-1747427472
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:31:22,buy-2-1747427472
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:31:32,sell-2-1747427482
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:31:32,sell-1-1747427482
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:31:42,buy-1-1747427492
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:31:42,buy-2-1747427492
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:31:52,sell-2-1747427502
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:31:52,sell-1-1747427502
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:32:02,buy-1-1747427512
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:32:02,buy-2-1747427512
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:32:12,sell-2-1747427522
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:32:12,sell-1-1747427522
buy,1,1411.0,10000.0,7.083628632175762,5.0,2025-05-17 05:32:22,buy-1-1747427532
buy,2,1404.0,10000.0,7.118945868945869,5.0,2025-05-17 05:32:22,buy-2-1747427532
sell,2,1411.0,10044.832621082622,7.122507122507122,5.024928774928775,2025-05-17 05:32:32,sell-2-1747427542
sell,1,1418.0,10044.58540042523,7.087172218284905,5.024805102763998,2025-05-17 05:32:32,sell-1-1747427542
